itemID,itemName,itemDesc,itemPrice,currentStock,minStock
111144, Fish Tank Heater, Adjustable heater for maintaining optimal aquarium temperature.,$19.99,20,
111145, Hamster Bedding, Soft bedding material for hamsters' comfort.,$7.99,50,
111146, Dog Raincoat (M), Medium-sized raincoat for dogs.,$18.99,15,
111147, Catnip Toys Set, Set of toys infused with catnip for endless fun.,$12.99,20,
111148, Rabbit Nail Clippers, Clippers designed for safely trimming rabbit nails.,$9.99,25,
111149, Dog Dental Chew, Dental chew toy for dogs to promote oral health.,$10.99,35,
111150, Bird Cage Cover, Cover to provide privacy and darkness for birds.,$15.99,20,
111151, Fish Tank Decorations, Assorted decorations to beautify aquariums.,$24.99,40,
111152, Guinea Pig Hay Rack, Wall-mounted rack for easy access to hay for guinea pigs.,$11.99,15,
111153, Dog Frisbee, Durable frisbee toy for interactive play with dogs.,$7.99,30,
111154, Cat Water Fountain, Fountain to provide running water for cats.,$29.99,10,
111155, Bird Bath, Plastic bath for birds to bathe and stay clean.,$9.99,25,
111156, Rabbit Grooming Kit, Grooming tools for rabbits.  Including brush and comb.,$16.99,10,
111157, Dog GPS Tracker, GPS tracker to monitor your dog's location.,$49.99,15,
111158, Cat Carrier, Sturdy carrier for transporting cats safely.,$39.99,20,
111159, Bird Aviary, Spacious aviary for housing multiple birds.,$129.99,8,
111160, Fish Tank Filter, Efficient filter system to maintain aquarium water quality.,$39.99,10,
111161, Hamster Exercise Ball, Exercise ball for hamsters to roll around in.,$6.99,5,
111162, Dog Life Jacket, Buoyant vest to keep dogs safe while swimming.,$29.99,10,
111163, Cat Grass Kit, Kit to grow nutritious grass for cats to nibble on.,$8.99,5,
111164, Bird Cage Stand, Stand to elevate bird cages for better visibility.,$11.99,15,
111165, Rabbit Litter, Absorbent litter for rabbits' hygiene needs.,$19.99,20,
111166, Dog Nail Clippers, Clippers designed for trimming dog nails safely.,$12.99,20,
111167, Cat Harness, Harness with leash attachment for safe outdoor walks.,$13.99,20,
111168, Bird Perch Swing, Swing perch for birds to exercise and entertain.,$8.99,25,
111169, Fish Tank Gravel, Colored gravel substrate to enhance aquariums.,$11.99,20,
111170, Dog Shampoo, Gentle shampoo formulated for dogs' fur.,$9.99,30,
111171, Cat Scratching Board, Cardboard scratching board for cats' claws.,$5.99,40,
111172, Bird Nesting Box, Wooden nesting box for birds to rest and breed.,$14.99,10,
111173, Rabbit Grooming Brush, Soft brush designed for grooming rabbits' fur.,$7.99,25,
111174, Dog Agility Set, Set of obstacles for agility training with dogs.,$49.99,8,
111175, Cat Interactive Toy, Interactive toy to stimulate cats' hunting instincts.,$19.99,15,
111176, Bird Play Gym, Gym-like structure for birds to exercise and play.,$29.99,20,
111177, Fish Tank Light, LED light fixture for illuminating aquariums.,$24.99,30,
111178, Hamster Playpen, Portable playpen for hamsters to explore safely.,$17.99,10,
111179, Dog Toothbrush Kit, Toothbrush and toothpaste set for dog dental care.,$8.99,25,
111180, Cat Window Perch, Window-mounted perch for cats to observe outside.,$16.99,20,
111181, Bird Bath Spray, Spray bottle for misting birds during bathing.,$6.99,25,
111182, Rabbit Hutch Cover, Weather-resistant cover to protect rabbit hutches.,$29.99,10,
111183, Dog Vest Harness, Vest-style harness for dogs' comfort and safety.,$19.99,15,
111184, Cat Window Hammock, Hammock-style bed for cats to lounge in windows.,$21.99,20,
111185, Bird Cage Liner, Disposable liner to keep bird cages clean.,$9.99,30,
111186, Fish Tank Thermometer, Thermometer for monitoring aquarium water temperature.,$5.99,25,
111187, Hamster Sand Bath, Sand bath for hamsters to maintain fur cleanliness.,$3.99,40,
111188, Dog Car Seat Cover, Seat cover to protect car seats from pet hair and dirt.,$34.99,20,
111189, Cat Feather Wand, Wand toy with feathers to entice cats to play.,$7.99,35,
111190, Bird Calcium Supplement, Calcium supplement for birds' bone health.,$11.99,15,
111191, Rabbit Water Bowl, Heavy-duty water bowl for rabbits' hydration needs.,$12.99,20,
111192, Dog Muzzle, Nylon muzzle for dogs to prevent biting and chewing.,$8.99,25,
111193, Cat Carrier Backpack, Backpack-style carrier for transporting cats on hikes.,$39.99,10,
111194, Bird Treat Sticks, Nutritious treat sticks for birds' enjoyment and health.,$14.99,20,
111195, Fish Tank Air Pump, Air pump to aerate water and improve oxygen levels in aquariums.,$19.99,15,
111196, Hamster Hideout, Hideout for hamsters to retreat and feel secure.,$6.99,25,
111197, Dog Backpack, Backpack for dogs to carry essentials on hikes.,$24.99,10,
111198, Cat Food Mat, Silicone mat to prevent spills and messes around cat food bowls.,$9.99,15,
111199, Bird Cage Skirt, Decorative skirt to conceal the base of bird cages.,$12.99,20,
111200, Rabbit Cooling Mat, Cooling mat for rabbits to stay comfortable during hot weather.,$17.99,20,
111201, Dog Puzzle Toy, Interactive toy to challenge dogs' problem-solving skills.,$14.99,25,
111202, Cat Tunnel Bed, Tunnel-shaped bed for cats to nap and play.,$19.99,20,
111203, Bird Swing Perch, Perch with swing feature for birds' entertainment.,$8.99,30,
111204, Rabbit Play Tunnel, Tunnel for rabbits to explore and exercise.,$12.99,15,
111205, Dog Training Treats, Small treats for rewarding dogs during training.,$6.99,40,
111206, Cat Scratcher Lounge, Lounge-shaped scratcher for cats' claws.,$24.99,10,
111207, Bird Mirror Toy, Mirror toy to stimulate birds' social behavior.,$7.99,25,
111208, Fish Tank Background, Decorative background for aquariums.,$9.99,20,
111209, Hamster Chew Sticks, Chewable sticks for hamsters' dental health.,$3.99,50,
111210, Dog Backpack Harness, Harness with backpack for carrying dog essentials.,$29.99,15,
111211, Cat Treat Dispenser, Interactive dispenser for dispensing cat treats.,$16.99,20,
111212, Bird Playpen, Playpen for birds to exercise and play outside the cage.,$34.99,10,
111213, Rabbit Grooming Glove, Glove for grooming rabbits' fur.,$11.99,25,
111214, Dog Tie-Out Cable, Cable for safely securing dogs outdoors.,$12.99,20,
111215, Cat Bed Cave, Cave-shaped bed for cats to hide and sleep.,$21.99,30,
111216, Bird Chew Toys, Assorted toys for birds to chew and play with.,$8.99,35,
111217, Fish Tank Vacuum Cleaner, Vacuum cleaner for removing debris from aquarium substrate.,$19.99,20,
111218, Hamster Exercise Wheel, Exercise wheel for hamsters to stay active.,$6.99,25,
111219, Dog Dental Spray, Spray for freshening dogs' breath and promoting oral hygiene.,$9.99,20,
111220, Cat Interactive Laser Toy, Laser toy for cats to chase and pounce on.,$14.99,25,
111221, Bird Treat Dispenser Ball, Ball dispenser for releasing treats as birds play.,$7.99,30,
111222, Rabbit Hideaway House, House-shaped hideaway for rabbits to rest and relax.,$16.99,15,
111223, Dog Squeaky Toy, Toy that emits squeaking sounds to entertain dogs.,$8.99,40,
111224, Cat Hammock Bed, Hammock-style bed for cats to lounge and nap.,$19.99,20,
111225, Bird Rope Perch, Perch made of durable rope for birds to climb.,$11.99,25,
111226, Fish Tank Algae Scrubber, Scrubber for removing algae buildup in aquariums.,$14.99,20,
111227, Hamster Treat Ball, Ball dispenser for releasing treats as hamsters play.,$5.99,30,
111228, Dog Seat Belt, Seat belt for securing dogs safely during car rides.,$12.99,20,
111229, Cat Feather Teaser, Teaser toy with feathers to stimulate cats' hunting instincts.,$7.99,25,
111230, Bird Foraging Toy, Toy that encourages birds to forage for treats.,$9.99,20,
111231, Rabbit Grass Mat, Mat made of natural grass for rabbits to nibble on.,$6.99,30,
111232, Dog Poop Scooper, Scooper for hygienically picking up dog waste.,$14.99,15,
111233, Cat Water Fountain Filter, Filter replacement for cat water fountains.,$8.99,25,
111234, Bird Ladder, Ladder accessory for birds to climb and exercise.,$10.99,20,
111235, Fish Tank Heater Guard, Guard for protecting fish from heater burns.,$4.99,35,
111236, Hamster Climbing Ladder, Ladder for hamsters to climb and explore.,$7.99,20,
111237, Dog Tie-Out Stake, Stake for securely anchoring dog tie-out cables.,$9.99,25,
111238, Cat Wand Teaser, Wand toy with dangling attachments to entice cats to play.,$6.99,30,
111239, Bird Calcium Perch, Perch with calcium coating for birds' beak and nail health.,$11.99,20,
111240, Rabbit Treat Ball, Ball dispenser for releasing treats as rabbits play.,$8.99,25,
111241, Dog Tug-of-War Rope, Rope toy for interactive tug-of-war games with dogs.,$12.99,20,
111242, Cat Window Shelf, Shelf for cats to perch and relax by the window.,$19.99,15,
111243, Bird Snuggle Hut, Hut-shaped cozy retreat for birds to sleep in.,$14.99,20,
111244, Fish Tank Plant Decor, Artificial plants for enhancing aquarium aesthetics.,$7.99,25,
111245, Hamster Wheel Stand, Stand to elevate hamster exercise wheels for better stability.,$9.99,15,
111246, Dog Life Vest, Buoyant vest to keep dogs safe while swimming.,$24.99,10,
111247, Cat Toy Ball, Ball toy with bell for cats to chase and play with.,$3.99,25,
111248, Bird Avocado Toy, Chewable toy shaped like an avocado for birds' entertainment.,$5.99,20,
111249, Rabbit Digging Box, Box filled with safe materials for rabbits to dig and burrow.,$12.99,15,
111250, Dog Cooling Vest, Vest designed to keep dogs cool during hot weather.,$18.99,20,
111251, Cat Heating Pad, Heating pad for cats to stay warm and cozy.,$14.99,25,
111252, Bird Puzzle Feeder, Feeder that challenges birds to solve puzzles to access food.,$9.99,20,
111253, Fish Tank Bubble Wall, Decorative wall with bubbles for enhancing aquarium aesthetics.,$16.99,30,
111254, Hamster Hammock, Hammock-style bed for hamsters to relax and sleep in.,$6.99,20,
111255, Dog Reflective Collar, Collar with reflective strips for increased visibility at night.,$7.99,25,
111256, Cat Feather Ball, Ball toy with feathers for cats to bat and pounce on.,$4.99,30,
111257, Bird Chewable Perch, Perch made of chewable materials for birds' beak health.,$8.99,20,
111258, Rabbit Cooling Pad, Pad designed to keep rabbits cool during hot weather.,$10.99,25,
111259, Dog Flyball Toy, Toy that launches balls for dogs to chase and retrieve.,$11.99,20,
111260, Cat Grass Seed, Seeds for growing nutritious grass for cats to nibble on.,$3.99,25,
111261, Bird Swing Bridge, Bridge-like perch for birds to swing and play on.,$12.99,20,
111262, Fish Tank Background Poster, Poster-style background for aquariums.,$7.99,30,
111263, Hamster Chewable Hideout, Hideout made of chewable materials for hamsters' dental health.,$8.99,20,
111264, Dog Tug Toy, Rope toy for interactive tug-of-war games with dogs.,$5.99,25,
111265, Cat Feather Teaser Wand, Wand toy with feathers to stimulate cats' hunting instincts.,$6.99,20,
111266, Bird Snuggle Perch, Perch with cozy fabric for birds to rest and snuggle on.,$9.99,25,
111267, Rabbit Hay Dispenser, Dispenser for providing hay to rabbits in a controlled manner.,$11.99,20,
111268, Dog Tennis Ball Launcher, Launcher for throwing tennis balls for dogs to fetch.,$14.99,15,
111269, Cat Teething Toy, Toy designed to soothe kittens' teething discomfort.,$4.99,30,
111270, Bird Bath Perch, Perch with built-in bath for birds to clean themselves.,$8.99,20,
111271, Fish Tank Artificial Coral, Artificial coral decoration for aquariums.,$6.99,25,
111272, Hamster Exercise Ball Stand, Stand to hold hamster exercise balls securely in place.,$9.99,20,
111273, Dog Dental Chews, Chews designed to promote dental health in dogs.,$10.99,25,
111274, Cat Tunnel Bed Combo, Combination of tunnel and bed for cats' play and rest.,$19.99,20,
111275, Bird Rope Bridge, Bridge made of durable rope for birds to climb and explore.,$11.99,25,
111276, Rabbit Treat Sampler, Assortment of treats for rabbits to enjoy.,$13.99,20,
111277, Dog Squeaky Chew Toy, Chew toy with built-in squeaker for added excitement.,$7.99,25,
111278, Cat Window Perch Hammock, Hammock-style perch for cats to lounge in windows.,$16.99,20,
111279, Bird Climbing Net, Net for birds to climb and exercise on.,$8.99,25,
111280, Fish Tank Gravel Vacuum, Vacuum cleaner designed specifically for gravel in aquariums.,$12.99,20,
111281, Hamster Exercise Wheel Stand, Stand to elevate hamster exercise wheels for better stability.,$9.99,25,
111282, Dog Grooming Gloves, Gloves with bristles for grooming dogs' fur.,$11.99,20,
111283, Cat Laser Pointer, Pointer toy to engage cats in playful chasing.,$5.99,25,
111284, Bird Foraging Ball, Ball dispenser for releasing treats as birds forage and play.,$7.99,20,
111285, Rabbit Chew Block, Chewable block for rabbits' dental health and entertainment.,$6.99,25,
111286, Dog Frisbee Disc, Disc toy for interactive play and exercise with dogs.,$8.99,20,
111287, Cat Tunnel Cube, Cube-shaped tunnel for cats to explore and hide in.,$10.99,25,
111288, Bird Swing Bridge Combo, Combination of swing and bridge perch for birds' enjoyment.,$14.99,20,
111289, Fish Tank Plant Seeds, Seeds for growing live aquatic plants in aquariums.,$9.99,25,
111290, Hamster Climbing Tower, Tower structure for hamsters to climb and explore.,$11.99,20,
111291, Dog Rope Tug Toy, Rope toy for tug-of-war games and dental health in dogs.,$7.99,25,
111292, Cat Sisal Scratching Post, Scratching post wrapped in sisal rope for cats' claw care.,$12.99,20,
111293, Bird Foraging Wheel, Wheel-shaped foraging toy for birds' mental stimulation.,$8.99,25,
111294, Rabbit Snuggle Mat, Soft mat for rabbits to snuggle and rest on.,$10.99,20,
111295, Dog Cooling Bandana, Bandana designed to keep dogs cool during outdoor activities.,$11.99,25,
111296, Cat Food Puzzle Feeder, Puzzle feeder to encourage cats to work for their food.,$14.99,20,
111297, Bird Bath House, House-shaped bath for birds to splash and bathe in.,$16.99,25,
111298, Fish Tank Air Stone, Air stone for adding oxygen and creating bubbles in aquariums.,$6.99,20,
111299, Hamster Chew Tunnel, Tunnel made of chewable materials for hamsters' dental health.,$8.99,5,
111300, Dog Training Whistle, Whistle for training dogs with specific commands.,$4.99,30,
